Datetime,Fan_Status,Humidity_Status,Light_Status,Moisture_Status0,Moisture_Status1,Moisture_Status2,Moisture_Status3,RoomTemp_Status,WG1_Set,WG2_Set
Wed Feb 23 05:39:26 2022,0,76.65,0,1.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:40:26 2022,0,76.56,0,0.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:41:26 2022,0,73.5,0,1.74,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 05:42:26 2022,0,74.16,0,0.75,8.27,9.21,4.57,26.64,20,20
Wed Feb 23 05:43:26 2022,0,76.59,0,0.75,8.29,9.22,4.56,26.62,20,20
Wed Feb 23 05:44:26 2022,0,76.54,0,1.75,8.27,9.22,4.57,26.64,20,20
Wed Feb 23 05:45:26 2022,0,73.14,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:46:26 2022,0,76.57,0,1.75,8.28,9.2,4.57,26.61,20,20
Wed Feb 23 05:47:26 2022,0,73.43,0,0.74,8.29,9.22,4.57,26.63,20,20
Wed Feb 23 05:48:26 2022,0,76.62,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 05:49:26 2022,0,76.65,0,1.75,8.28,9.22,4.56,26.61,20,20
Wed Feb 23 05:50:26 2022,0,73.4,0,1.75,8.28,9.22,4.56,26.61,20,20
Wed Feb 23 05:51:26 2022,0,73.8,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 05:52:26 2022,0,73.8,0,1.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:53:26 2022,0,76.59,0,0.75,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 05:54:26 2022,0,76.93,0,0.75,8.27,9.22,4.58,26.66,20,20
Wed Feb 23 05:55:26 2022,0,76.79,0,1.72,8.28,9.22,4.58,26.64,20,20
Wed Feb 23 05:56:26 2022,0,76.55,0,0.72,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 05:57:26 2022,0,73.6,0,1.74,8.28,9.21,4.57,26.65,20,20
Wed Feb 23 05:58:26 2022,0,76.61,0,0.75,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 05:59:26 2022,0,76.55,0,0.75,8.27,9.22,4.58,26.65,20,20
Wed Feb 23 06:00:26 2022,0,77.19,0,0.75,8.28,9.21,4.57,26.65,20,20
Wed Feb 23 06:01:26 2022,0,76.61,0,0.75,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 06:02:26 2022,0,75.11,0,1.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 06:03:26 2022,0,76.52,0,1.74,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 06:04:26 2022,0,73.8,0,1.73,8.28,9.21,4.56,26.62,20,20
Wed Feb 23 06:05:26 2022,0,76.55,0,0.75,8.27,9.2,4.57,26.63,20,20
Wed Feb 23 06:06:26 2022,0,76.54,0,0.75,8.28,9.21,4.56,26.62,20,20
Wed Feb 23 06:07:26 2022,0,73.1,0,1.75,8.28,9.22,4.57,26.59,20,20
Wed Feb 23 06:08:26 2022,0,74.8,0,1.75,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 06:09:26 2022,0,73.6,0,1.75,8.28,9.21,4.56,26.65,20,20
Wed Feb 23 06:10:26 2022,0,73.5,0,1.74,8.27,9.22,4.57,26.66,20,20
Wed Feb 23 06:11:26 2022,0,66.23,0,0.74,8.28,9.22,4.57,26.67,20,20
